10026	2014	spring	AAS	168	West African Drumming Intro	Led by Master Drummer Fana Bangoura, the West African Drumming Ensemble is dedicated to the dynamic percussive traditions of Guinea. The ensemble combines the iconic djembe hand drum with a trio of drums played with sticks, known as dunun, sangban, and kenkeni. The powerful, multi-part relationships established by this trio of drums provide a rhythmic foundation for the ensemble, enabling djembe players to develop technique in executing both accompaniment and solo parts. Drawing upon his experience as a soloist with the internationally acclaimed groups Les Percussions de Guinée and Les Ballets Africains, Fana engages ensemble players with a wide repertory of music from various regions of Guinea, including the rhythms of the Susu, Malinke, and Baga language groups.	\N	0
10034	2014	spring	AAS	168	West African Drumming Intro	Led by Master Drummer Fana Bangoura, the West African Drumming Ensemble is dedicated to the dynamic percussive traditions of Guinea. The ensemble combines the iconic djembe hand drum with a trio of drums played with sticks, known as dunun, sangban, and kenkeni. The powerful, multi-part relationships established by this trio of drums provide a rhythmic foundation for the ensemble, enabling djembe players to develop technique in executing both accompaniment and solo parts. Drawing upon his experience as a soloist with the internationally acclaimed groups Les Percussions de Guinée and Les Ballets Africains, Fana engages ensemble players with a wide repertory of music from various regions of Guinea, including the rhythms of the Susu, Malinke, and Baga language groups.	\N	0
10043	2014	spring	AAS	170	Religion & Hip Hop Culture	This course considers an often overlooked element in the study of hip hop culture, religion. Specifically, the course offers students the opportunity to examine the variety of ways that religion finds expression in the dynamic cultural medium of hip hop. Class format includes lectures, discussions, films, and video/music presentations.	\N	0
10051	2014	spring	AAS	182	West African Dance Forms 1A	A continuation of Dance 181.	\N	0
10078	2014	spring	AAS	232	War, Genocide & Justice	This course will explore how societies attempt to achieve justice in the wake of political violence such as genocide or civil war. We will use anthropological approaches to explore the variety of ways violence, memory, justice, and reconciliation are understood around the world, focusing particularly in Africa. We will explore critically the ideology behind transitional justice mechanisms such as truth commissions, criminal trials, and memorials, and their diverse impacts in specific contexts. We will ask, How do we understand violence and the challenges of social recovery? What is the relationship between rule of law, political stability, and peace? How do legal solutions balance local realities and culture with universal standards of law and human rights? How do legal solutions define peace and justice, truth and punishment, and manage tensions between them?	\N	0
10103	2014	spring	AAS	242	Urban Change and City Politics	Through intensive reading and discussion, we examine the politics and history of American cities. While we read scholarship drawing on the experiences of an array of cities--including Chicago, New York, Detroit, Boston, Oakland, Philadelphia, San Diego, Albuquerque, Phoenix, New Haven, Atlanta, Buffalo, and Charlotte--our emphasis is on commonalities in the urban experience as well as on systematic differences. We analyze the relationship of cities to their hinterlands in the early stages of urban development, the rise of ethnic neighborhoods, suburbanization, industrialization, de-industrialization, housing and jobs, concentrated poverty, and population changes. Race, ethnicity, and class are central to this course, not only in understanding changes in neighborhoods but also in the nature of politics and governmental arrangements.	\N	0
10112	2014	spring	AAS	246	Cry Freedom	Since the 1960s religious scholars, especially in developing countries, have attempted to re-think and re-express their beliefs in ways that can lead to greater social justice for marginalized people. This largely Christian movement set in a motion a theological and social phenomenon known as liberation theology. In this work we will examine the ideas and actions behind this movement, with particular reference to race, class, and gender. Writing and discussion are integral parts of the course.	\N	0
10129	2014	spring	AAS	253	Economics of Discrimination	Economic development of African Americans during the twentieth century, with an examination of the economics of discrimination. Same as HIS 253 and AAS 253.	\N	0
10130	2014	spring	AAS	254	West African Dance Forms I	Dynamic dance traditions of Guinea, West Africa. Accompanied by live music, students learn footwork and movements for several rhythms and acquire familiarity with the physical stance common to many styles of West African dance. Learn to execute movements together with the rhythmic foundation provided by our drummers and become familiar with the origins and cultural significance of each dance, and the songs that accompany them.	\N	0
10175	2014	spring	AAS	380	Senior Seminar	Students will draw upon their exposure to the theory methods of AAS to produce an interdisciplinary research paper on a topic of their own choosing.  Open only to senior majors.  Permission of Department required.	\N	0
10271	2014	spring	ACC	201	Financial Accounting	This course is an introduction to the principles and procedures used by organizations to record economic transactions that affect them, and to report the net effect of these transactions to interested external parties. The course will cover the judgment inherent in certain aspects of the recording and reporting process, the acceptable alternatives for recording given transactions, and the effect these judgments and alternatives have on comparisons of the financial reports for different organizations, and on the usefulness of financial reports in general. In conjunction with this, consideration will be given to the failure of financial reports to fully incorporate the economic condition of an organization, and the reason for this.	\N	0
10285	2014	spring	ACC	201	Financial Accounting	This course is an introduction to the principles and procedures used by organizations to record economic transactions that affect them, and to report the net effect of these transactions to interested external parties. The course will cover the judgment inherent in certain aspects of the recording and reporting process, the acceptable alternatives for recording given transactions, and the effect these judgments and alternatives have on comparisons of the financial reports for different organizations, and on the usefulness of financial reports in general. In conjunction with this, consideration will be given to the failure of financial reports to fully incorporate the economic condition of an organization, and the reason for this.	\N	0
10292	2014	spring	ACC	401	Corp Financial Accounting	Corporate financial accounting is concerned with the form and content of the information firms disclose to external parties (e.g., shareholders). In the United States, financial reporting is based on generally accepted accounting principles (GAAP) set by the Financial Accounting Standards Board (FASB). GAAP define the accounting methods and disclosure practices that firms select from when providing financial statements to external parties.  This course covers these principles and other important financial reporting practices. The primary focus of the course is developing the skills required to interpret and analyze financial information, rather than the skills required to prepare financial statements. Upon completion of the course, students will appreciate how financial accounting information is used in contracts between parties (e.g., lenders and the firm) and to evaluate a firm's past performance and potential future performance.	\N	0
10305	2014	spring	ACC	401	Corp Financial Accounting	Corporate financial accounting is concerned with the form and content of the information firms disclose to external parties (e.g., shareholders). In the United States, financial reporting is based on generally accepted accounting principles (GAAP) set by the Financial Accounting Standards Board (FASB). GAAP define the accounting methods and disclosure practices that firms select from when providing financial statements to external parties.  This course covers these principles and other important financial reporting practices. The primary focus of the course is developing the skills required to interpret and analyze financial information, rather than the skills required to prepare financial statements. Upon completion of the course, students will appreciate how financial accounting information is used in contracts between parties (e.g., lenders and the firm) and to evaluate a firm's past performance and potential future performance.	\N	0
